service_type,age,income,documents_uploaded_count,aadhaar_match,address_match,bank_account_valid,certificate_valid,duplicate_application_flag,hospital_record_match,caste_category_valid,decision_reason,approved
widow_pension,10,126179,1,1,1,1,1,0,1,1,income_exceeds_limit,0
old_age_pension,66,280609,5,0,0,1,1,0,1,0,aadhaar_name_mismatch,0
residence_certificate,50,227025,4,1,1,1,1,0,1,1,approved,1
old_age_pension,51,157849,1,1,1,1,1,0,0,1,age_not_eligible,0
old_age_pension,84,42113,5,1,1,1,1,0,1,1,approved,1
caste_certificate,42,269000,1,1,1,1,1,0,1,1,suspicious_income_pattern,0
residence_certificate,57,190453,2,0,0,1,1,0,1,1,aadhaar_name_mismatch,0
residence_certificate,77,73732,2,1,1,1,1,0,1,1,approved,1
residence_certificate,69,6169,1,1,1,1,1,1,1,1,duplicate_application_detected,0
old_age_pension,28,6888,5,0,1,1,0,0,1,1,aadhaar_name_mismatch,0
widow_pension,30,279886,5,1,1,1,1,0,1,1,income_exceeds_limit,0
residence_certificate,27,216472,5,1,1,1,0,0,0,1,certificate_expired,0
old_age_pension,49,82646,4,1,1,1,1,0,1,1,age_not_eligible,0
caste_certificate,35,1620,3,1,1,1,1,0,1,1,approved,1
widow_pension,91,48661,5,1,1,1,1,0,1,1,approved,1
caste_certificate,18,185746,5,1,1,1,1,0,0,1,approved,1
widow_pension,66,71153,1,1,1,1,1,0,0,1,approved,1
old_age_pension,11,120585,5,1,1,1,0,0,1,1,certificate_expired,0
birth_certificate,87,294371,3,1,1,1,1,0,1,1,suspicious_income_pattern,0
widow_pension,75,118430,1,1,1,1,0,0,1,0,certificate_expired,0
caste_certificate,23,111970,5,1,0,1,1,0,0,1,address_mismatch_records,0
old_age_pension,64,90611,3,1,1,1,1,0,1,1,approved,1
widow_pension,91,139513,1,1,1,1,1,0,0,1,income_exceeds_limit,0
birth_certificate,79,131402,4,1,1,1,0,0,1,1,certificate_expired,0
birth_certificate,20,198480,4,1,1,1,1,0,1,1,approved,1
residence_certificate,93,163552,1,1,1,1,1,0,1,1,approved,1
residence_certificate,25,109781,3,1,1,1,1,0,1,1,approved,1
caste_certificate,34,267626,3,1,1,1,1,0,0,1,suspicious_income_pattern,0
widow_pension,94,5539,2,1,1,1,1,0,1,1,approved,1
widow_pension,79,95007,2,1,1,1,1,0,0,0,approved,1
residence_certificate,57,14199,5,1,1,0,1,0,0,1,bank_account_inactive,0
widow_pension,41,271550,2,0,0,1,1,0,1,1,aadhaar_name_mismatch,0
widow_pension,28,153878,1,1,1,1,1,0,1,1,income_exceeds_limit,0
birth_certificate,28,292913,3,1,1,1,1,0,0,1,hospital_record_not_found,0
residence_certificate,8,52544,3,1,1,1,1,0,1,1,approved,1
old_age_pension,77,235204,1,1,0,1,1,0,1,1,address_mismatch_records,0
residence_certificate,71,94379,4,1,1,1,1,0,0,1,approved,1
old_age_pension,1,178873,2,1,1,1,1,0,1,1,age_not_eligible,0
birth_certificate,74,224952,1,0,1,0,1,0,0,1,aadhaar_name_mismatch,0
caste_certificate,1,75428,5,0,1,1,0,0,1,0,aadhaar_name_mismatch,0
widow_pension,17,257395,4,1,1,1,1,0,1,1,income_exceeds_limit,0
birth_certificate,68,261585,1,1,1,1,1,1,1,1,duplicate_application_detected,0
widow_pension,56,4706,2,1,1,1,1,0,1,1,approved,1
caste_certificate,70,271989,4,0,1,1,1,0,1,1,aadhaar_name_mismatch,0
caste_certificate,22,162601,5,1,1,1,1,0,1,1,approved,1
birth_certificate,18,38554,4,1,1,1,1,0,1,1,approved,1
caste_certificate,18,85941,3,1,1,1,0,0,1,1,certificate_expired,0
old_age_pension,57,105038,1,1,1,1,1,0,1,1,age_not_eligible,0
caste_certificate,82,136794,4,1,1,1,1,0,1,1,approved,1
widow_pension,48,291448,1,1,1,1,1,0,1,1,income_exceeds_limit,0
widow_pension,44,69003,1,1,0,1,1,0,1,1,address_mismatch_records,0
widow_pension,27,93216,1,0,1,1,1,0,1,1,aadhaar_name_mismatch,0
widow_pension,74,267533,3,1,1,1,1,0,1,1,income_exceeds_limit,0
old_age_pension,49,293288,4,1,1,1,1,0,1,1,age_not_eligible,0
residence_certificate,10,295340,3,1,1,1,1,0,1,1,suspicious_income_pattern,0
birth_certificate,54,199778,2,1,1,1,1,0,1,0,approved,1
widow_pension,8,54715,4,0,1,0,1,0,1,1,aadhaar_name_mismatch,0
caste_certificate,13,37129,4,1,1,1,1,0,1,1,approved,1
widow_pension,92,57565,3,1,1,1,1,0,1,1,approved,1
caste_certificate,20,122354,4,1,1,1,1,0,1,1,approved,1
caste_certificate,47,22664,3,1,1,0,1,0,1,1,bank_account_inactive,0
widow_pension,57,105177,1,1,1,1,1,0,1,1,approved,1
old_age_pension,68,61333,2,1,0,1,1,0,1,1,address_mismatch_records,0
caste_certificate,8,45204,1,1,1,1,1,0,1,1,approved,1
caste_certificate,66,131198,5,1,0,1,0,0,0,0,address_mismatch_records,0
widow_pension,77,42223,5,1,1,1,1,0,1,1,approved,1
caste_certificate,17,43286,1,1,1,1,1,0,1,1,approved,1
caste_certificate,11,288350,3,1,1,0,1,0,1,1,ifsc_invalid,0
widow_pension,86,148880,5,1,0,1,1,0,0,1,address_mismatch_records,0
widow_pension,77,88502,5,1,1,1,1,0,0,0,approved,1
birth_certificate,15,113198,3,1,1,1,1,0,1,1,approved,1
old_age_pension,36,48808,4,1,1,1,1,0,1,1,age_not_eligible,0
old_age_pension,19,37006,3,1,1,0,1,0,0,1,bank_account_inactive,0
caste_certificate,19,147770,2,1,1,1,1,0,1,1,approved,1
old_age_pension,14,60302,4,1,1,1,1,0,1,1,age_not_eligible,0
caste_certificate,24,14364,4,1,0,1,1,0,1,1,address_mismatch_records,0
birth_certificate,16,97000,2,1,1,1,1,0,1,1,approved,1
widow_pension,11,118130,1,1,1,1,1,0,1,1,approved,1
widow_pension,41,260693,4,1,1,1,1,0,1,1,income_exceeds_limit,0
widow_pension,38,277201,4,1,1,1,1,0,1,1,income_exceeds_limit,0
old_age_pension,55,76401,1,1,1,1,1,0,1,1,age_not_eligible,0
birth_certificate,52,72247,2,1,1,1,1,0,1,1,approved,1
old_age_pension,70,107227,4,1,1,1,1,1,0,1,duplicate_application_detected,0
old_age_pension,71,284852,1,1,1,1,1,0,1,1,suspicious_income_pattern,0
birth_certificate,87,245250,2,1,1,1,1,0,1,1,approved,1
birth_certificate,46,138764,2,1,1,0,1,0,0,1,bank_account_inactive,0
birth_certificate,24,237989,5,1,1,1,1,1,0,1,duplicate_application_detected,0
birth_certificate,84,174917,4,1,0,1,1,0,1,1,address_mismatch_records,0
widow_pension,49,35594,4,1,1,1,1,0,1,1,approved,1
residence_certificate,32,118216,1,1,1,1,1,0,1,1,approved,1
residence_certificate,73,152914,1,1,0,1,1,0,1,1,address_mismatch_records,0
birth_certificate,85,150754,5,1,1,1,1,0,1,0,approved,1
residence_certificate,82,167903,1,1,0,1,1,0,1,1,address_mismatch_records,0
residence_certificate,28,241115,5,1,1,1,1,0,0,1,approved,1
birth_certificate,2,124059,3,1,1,1,1,0,1,1,approved,1
residence_certificate,38,151826,5,1,1,1,0,0,1,1,certificate_expired,0
old_age_pension,3,201056,3,1,1,1,1,0,0,1,age_not_eligible,0
caste_certificate,36,207830,5,1,1,1,1,0,0,1,approved,1
caste_certificate,94,205188,3,1,1,1,1,0,1,1,approved,1
birth_certificate,5,249979,4,1,1,1,1,0,1,1,approved,1
widow_pension,91,103583,5,1,0,1,1,0,1,1,address_mismatch_records,0
birth_certificate,9,222589,2,1,1,1,1,0,1,1,approved,1
widow_pension,11,102511,5,1,1,1,1,0,1,1,approved,1
caste_certificate,65,79855,1,1,1,1,0,1,1,1,duplicate_application_detected,0
birth_certificate,2,125774,4,0,0,1,1,0,1,1,aadhaar_name_mismatch,0
old_age_pension,64,202682,4,1,1,0,1,0,1,0,bank_account_inactive,0
residence_certificate,63,97892,1,1,1,0,1,0,1,1,bank_account_inactive,0
widow_pension,34,13960,1,1,1,1,1,0,0,1,approved,1
residence_certificate,23,142498,3,1,1,1,1,0,1,1,approved,1
residence_certificate,46,24630,4,1,0,1,1,0,1,1,address_mismatch_records,0
birth_certificate,51,174346,3,1,0,1,0,0,1,0,address_mismatch_records,0
residence_certificate,33,280517,4,1,1,1,1,0,1,1,suspicious_income_pattern,0
old_age_pension,83,297948,2,1,1,1,1,0,1,1,suspicious_income_pattern,0
residence_certificate,79,166969,4,1,1,1,1,0,0,1,approved,1
birth_certificate,93,60011,4,1,1,1,1,0,1,1,approved,1
old_age_pension,24,190737,2,1,1,1,1,0,1,1,age_not_eligible,0
caste_certificate,68,244045,2,1,1,1,0,0,1,1,certificate_expired,0
residence_certificate,28,174764,2,1,1,1,1,0,1,1,approved,1
birth_certificate,91,273530,2,1,1,0,1,0,1,1,bank_account_inactive,0
caste_certificate,63,106026,5,1,0,1,1,0,0,1,address_mismatch_records,0
caste_certificate,52,211256,5,1,1,1,1,0,1,1,approved,1
widow_pension,57,68340,4,0,0,1,1,0,1,1,aadhaar_name_mismatch,0
old_age_pension,40,120635,5,1,1,1,1,0,1,1,age_not_eligible,0
residence_certificate,86,292741,2,1,1,1,1,0,0,1,suspicious_income_pattern,0
birth_certificate,50,197987,2,1,1,1,1,0,1,1,approved,1
widow_pension,17,258784,5,1,0,1,0,0,1,1,address_mismatch_records,0
old_age_pension,40,189198,5,0,1,1,1,0,1,1,aadhaar_name_mismatch,0
widow_pension,60,119127,5,1,0,1,0,0,1,1,address_mismatch_records,0
old_age_pension,23,31892,5,1,0,0,1,0,1,1,address_mismatch_records,0
old_age_pension,46,139020,1,1,1,1,1,0,1,1,age_not_eligible,0
residence_certificate,27,70940,1,1,1,1,1,0,1,0,approved,1
old_age_pension,35,93444,4,1,0,1,0,0,1,1,address_mismatch_records,0
widow_pension,20,243476,5,1,1,0,1,0,1,1,ifsc_invalid,0
old_age_pension,55,9864,1,1,1,1,1,0,1,1,age_not_eligible,0
residence_certificate,68,194242,1,1,1,1,1,0,1,1,approved,1
residence_certificate,25,243883,4,1,1,1,1,0,1,1,approved,1
widow_pension,53,82109,1,1,1,1,1,0,1,1,approved,1
caste_certificate,86,175837,5,1,1,1,1,0,1,1,approved,1
caste_certificate,43,211778,4,1,1,1,1,1,1,1,duplicate_application_detected,0
old_age_pension,32,211056,4,1,1,1,0,0,1,1,certificate_expired,0
birth_certificate,25,233966,4,1,1,0,1,0,1,1,bank_account_inactive,0
old_age_pension,21,166589,2,1,0,0,1,0,1,0,address_mismatch_records,0
widow_pension,19,264637,1,1,0,1,1,0,1,1,address_mismatch_records,0
widow_pension,1,298683,4,1,1,1,1,0,1,1,income_exceeds_limit,0
widow_pension,40,266672,1,1,0,1,0,0,1,0,address_mismatch_records,0
widow_pension,53,54438,2,1,1,1,1,0,1,1,approved,1
widow_pension,56,262824,2,1,1,1,1,0,0,0,income_exceeds_limit,0
residence_certificate,17,65841,4,0,1,1,1,1,1,0,duplicate_application_detected,0
caste_certificate,4,187956,4,1,0,1,1,0,1,1,address_mismatch_records,0
widow_pension,45,34169,5,1,1,1,1,0,0,1,approved,1
birth_certificate,74,200909,4,1,1,0,1,0,0,1,bank_account_inactive,0
birth_certificate,20,202480,3,1,0,1,1,0,1,1,address_mismatch_records,0
birth_certificate,21,27063,1,1,1,1,1,0,1,1,approved,1
birth_certificate,2,25344,4,1,1,1,0,0,1,1,certificate_expired,0
residence_certificate,8,183231,5,1,1,1,0,0,1,1,certificate_expired,0
birth_certificate,1,38542,2,1,1,1,0,0,1,1,certificate_expired,0
widow_pension,27,36097,2,1,1,1,1,0,1,1,approved,1
old_age_pension,33,213003,3,1,1,1,1,0,0,1,age_not_eligible,0
birth_certificate,52,25516,4,1,1,1,1,0,1,0,approved,1
residence_certificate,58,294072,3,1,1,0,1,0,1,1,bank_account_inactive,0
residence_certificate,9,196822,5,1,1,1,1,0,1,1,approved,1
birth_certificate,82,238241,1,1,1,1,1,0,1,1,approved,1
old_age_pension,92,230160,5,1,1,1,1,0,1,1,approved,1
birth_certificate,1,94918,3,1,1,1,1,0,0,1,hospital_record_not_found,0
residence_certificate,47,69374,3,1,1,1,1,0,1,1,approved,1
caste_certificate,5,231663,2,0,1,1,1,0,1,1,aadhaar_name_mismatch,0
widow_pension,43,16398,5,1,1,1,1,0,0,0,approved,1
residence_certificate,53,103276,1,1,0,1,0,0,0,1,address_mismatch_records,0
birth_certificate,70,287909,2,1,0,1,1,0,1,1,address_mismatch_records,0
widow_pension,35,202081,1,1,1,1,0,0,1,1,certificate_expired,0
birth_certificate,7,32064,4,1,1,1,1,0,1,1,approved,1
birth_certificate,82,269761,3,1,1,1,1,0,1,1,suspicious_income_pattern,0
caste_certificate,9,122712,1,1,1,1,1,0,1,1,approved,1
widow_pension,32,171899,5,1,1,1,1,0,1,1,income_exceeds_limit,0
widow_pension,90,180962,2,1,1,1,1,0,1,1,income_exceeds_limit,0
caste_certificate,92,131279,3,1,1,1,1,0,1,1,approved,1
residence_certificate,18,148370,2,1,1,1,1,0,1,1,approved,1
birth_certificate,17,93032,4,1,1,1,1,0,1,1,approved,1
old_age_pension,50,284702,2,1,1,1,1,1,0,1,duplicate_application_detected,0
birth_certificate,22,193,1,1,1,1,0,0,1,1,certificate_expired,0
birth_certificate,0,129183,2,1,1,1,1,0,1,1,approved,1
residence_certificate,58,223434,2,1,1,1,1,0,1,1,approved,1
birth_certificate,2,168644,4,1,1,1,1,0,1,1,approved,1
caste_certificate,9,252206,1,1,1,1,1,0,1,1,suspicious_income_pattern,0
caste_certificate,70,22177,2,1,1,1,1,0,1,1,approved,1
widow_pension,48,173827,4,1,1,1,1,1,1,0,duplicate_application_detected,0
old_age_pension,55,287523,2,1,1,1,1,0,1,0,age_not_eligible,0
birth_certificate,89,126233,1,1,1,1,1,0,1,1,approved,1
birth_certificate,15,243488,5,1,1,1,1,0,1,1,approved,1
residence_certificate,38,158919,2,1,1,1,1,0,0,1,approved,1
caste_certificate,75,97424,2,1,1,1,1,0,1,1,approved,1
old_age_pension,43,101390,5,1,1,1,1,0,1,1,age_not_eligible,0
widow_pension,7,231402,5,1,1,1,1,1,0,1,duplicate_application_detected,0
caste_certificate,7,194041,5,1,1,1,1,0,1,1,approved,1
widow_pension,44,265710,2,1,1,1,1,1,1,1,duplicate_application_detected,0
residence_certificate,10,138498,5,1,1,0,1,0,1,1,bank_account_inactive,0
residence_certificate,24,261300,2,1,0,1,1,0,1,1,address_mismatch_records,0
birth_certificate,16,95543,2,1,1,1,1,1,0,1,duplicate_application_detected,0
old_age_pension,94,288440,3,0,1,1,1,0,1,1,aadhaar_name_mismatch,0
widow_pension,82,144011,1,1,1,1,1,0,0,1,income_exceeds_limit,0
caste_certificate,54,83327,1,1,1,1,0,0,1,1,certificate_expired,0
residence_certificate,78,267450,2,1,1,1,1,0,1,1,suspicious_income_pattern,0
birth_certificate,55,244032,5,1,1,1,1,0,1,1,approved,1
birth_certificate,43,103775,2,1,0,0,1,0,1,1,address_mismatch_records,0
widow_pension,52,261924,1,1,1,1,1,0,1,1,income_exceeds_limit,0
residence_certificate,34,78279,1,1,1,1,1,0,1,1,approved,1
old_age_pension,38,4092,4,1,1,1,0,0,1,1,certificate_expired,0
residence_certificate,1,106788,2,1,1,1,1,1,1,1,duplicate_application_detected,0
widow_pension,24,12446,5,1,1,1,0,0,1,1,certificate_expired,0
widow_pension,37,49176,2,1,1,1,1,0,1,1,approved,1
residence_certificate,67,45873,5,1,0,1,1,1,1,1,duplicate_application_detected,0
widow_pension,79,91756,5,1,1,1,0,0,1,1,certificate_expired,0
residence_certificate,31,113200,1,1,0,1,1,0,1,1,address_mismatch_records,0
caste_certificate,78,148999,4,1,1,1,1,0,1,1,approved,1
residence_certificate,77,175709,1,1,1,1,1,0,1,1,approved,1
residence_certificate,40,145016,2,1,1,1,1,0,0,1,approved,1
widow_pension,78,217506,3,1,1,1,1,0,1,1,income_exceeds_limit,0
widow_pension,70,58859,3,1,1,1,1,0,1,1,approved,1
birth_certificate,6,276631,5,1,1,1,1,0,0,1,hospital_record_not_found,0
birth_certificate,71,126496,1,1,1,1,0,0,1,1,certificate_expired,0
caste_certificate,82,61696,3,1,1,1,1,0,0,1,approved,1
birth_certificate,17,253,4,1,1,1,1,0,1,1,approved,1
residence_certificate,16,174850,2,1,1,1,1,0,1,1,approved,1
widow_pension,81,96141,5,1,1,1,1,1,0,1,duplicate_application_detected,0
